AccessToElectricity,Birth,FemaleP,Life,Death,CO2,Infant,Food,HDI
100,15.4,50.13522339,76.99463415,7,15.45288167,7.6,69.26,0.866
100,14.9,50.16110872,77.27560976,6.9,15.12796621,7.1,74.63,0.867
100,15.1,50.19120498,77.37804878,7.1,15.31776851,6.7,78.22,0.868
100,14.7,50.21938403,77.87804878,6.9,15.7014518,6.3,73.42,0.872
100,14.5,50.23786348,77.87804878,7.1,15.57658628,6,80.79,0.875
100,14.2,50.24173876,77.82926829,6.9,15.59651881,5.8,89.38,0.883
100,13.9,50.22848729,78.07804878,7,16.50180039,5.6,89.86,0.886
100,13.6,50.20109544,78.4804878,7,16.51427321,5.4,94.82,0.889
100,13.3,50.16664309,78.63170732,6.8,16.93569585,5.3,100.95,0.892
100,13.1,50.13484868,78.93170732,6.8,17.19029769,5.2,99.32,0.895
100,13,50.11222425,79.23414634,6.7,17.20060983,5.1,100.93,0.898
100,12.7,50.10179551,79.63414634,6.6,16.73336743,5,103.3,0.9
100,12.8,50.10094123,79.93658537,6.8,17.37045177,5,84.24,0.903
100,12.6,50.10398301,80.23902439,6.6,16.90195895,4.9,100.3,0.904
100,12.3,50.10275494,80.4902439,6.5,17.02651535,4.8,98.03,0.907
100,12.8,50.09233456,80.84146341,6.4,17.16971145,4.8,101.67,0.908
100,12.9,50.07036684,81.04146341,6.4,17.65139831,4.6,86.21,0.911
100,14.1,50.04069861,81.29268293,6.7,17.86526004,4.5,90.6,0.915
100,14,50.01165047,81.39512195,6.7,18.16087566,4.4,98.33,0.92
100,13.9,49.99384288,81.54390244,6.5,18.20018196,4.2,96.01,0.921
100,13.7,49.99375454,81.69512195,6.5,17.74084505,4,102.35,0.923
100,13.6,50.01356996,81.89512195,6.6,17.53887776,3.8,108.39,0.925
100,13.7,50.04896185,82.04634146,6.6,17.06614082,3.6,108.59,0.929
100,13.3,50.09187398,82.14878049,6.4,16.08347439,3.5,109.14,0.931
100,13.2,50.13146085,82.3,6.5,15.37013776,3.3,109.72,0.933
100,12.8,50.16030978,82.4,6.6,17.70388959,3.2,105.58,0.936
100,12.5,50.17645808,82.5,6.5,17.77958865,3.1,107,0.938
100,12.7017094,50.0430285,83.20734626,6.386039886,17.8552877,2.900569801,111.7846154,0.943014245
