AccessToElectricity,BirthRate,FemalePopulationRatio,LIfeExpectancy,DeathRate,CO2perCapita,InfantMortalityRate,Food,HDI
87.475116,27.278,50.3569194,64.197,7.659,1.468996065,1.46899607,51.39,0.611
89.83562469,26.452,50.37306059,64.552,7.511,1.453899001,1.453899,53.51,0.615
88.803833,25.677,50.39034275,64.917,7.369,1.459005827,1.45900583,51.4,0.622
89.999927,24.979,50.40862353,65.3,7.232,1.398620609,1.39862061,53.73,0.63
91.4888916,24.37,50.42795804,65.708,7.097,1.443186893,1.44318689,56.89,0.64
91.728598,23.838,50.4481553,66.144,6.961,1.427921974,1.42792197,57.45,0.648
92.867095,23.365,50.46849453,66.607,6.822,1.468431889,1.46843189,62.05,0.656
93.354139,22.94,50.48809673,67.095,6.681,1.516257008,1.51625701,66.37,0.664
94.193812,22.54,50.50637195,67.6,6.542,1.591823026,1.59182303,65.72,0.67
94.76296,22.139,50.52310666,68.112,6.407,1.726864217,1.72686422,69.09,0.676
94.46656799,21.716,50.53854526,68.622,6.282,1.793828678,1.79382868,69.94,0.684
96.016528,21.256,50.55313744,69.12,6.17,1.835152374,1.83515237,75.19,0.691
96.652996,20.753,50.56753606,69.599,6.073,1.853290732,1.85329073,76.96,0.698
96.980098,20.204,50.58221635,70.055,5.994,1.871118313,1.87111831,81.12,0.695
96.765107,19.618,50.59723038,70.486,5.933,1.898353874,1.89835387,86.45,0.698
97.093513,19.016,50.61247194,70.896,5.889,1.844379611,1.84437961,94.21,0.7
97.594314,18.42,50.62801513,71.29,5.86,1.762482362,1.76248236,97.44,0.702
98.125382,17.845,50.64390084,71.67,5.843,1.828671981,1.82867198,99.4,0.705
98.526625,17.31,50.66014678,72.04,5.836,1.858087992,1.85808799,103.17,0.716
98.856938,16.832,50.67682274,72.405,5.836,1.839393859,1.83939386,110.88,0.718
98.88305664,16.413,50.69389014,72.768,5.841,1.901371917,1.90137192,116.63,0.727
99.328691,16.053,50.7111358,73.129,5.848,2.008670258,2.00867026,116.91,0.731
99.519494,15.749,50.72825994,73.488,5.859,1.883811784,1.88381178,123.98,0.736
99.575151,15.492,50.74504435,73.838,5.873,2.132937571,2.13293757,129.15,0.748
99.650247,15.269,50.76140584,74.174,5.895,2.211587235,2.21158724,127.29,0.752
99.710902,15.06,50.77739123,74.488,5.927,2.343570115,2.34357012,136.83,0.757
100,14.852,50.79308626,74.777,5.971,2.488417184,2.48841718,137.01,0.758
100,14.635,50.80862601,75.042,6.027,2.594388285,2.59438829,140.58,0.759
